Sample,Total,Adaptor,Adaptor (%),hg38,hg38 (%),CHM13,CHM (%)
SRR8314237,60825061.0,2536393.0,4.17,,,,0.0
SRR8314387,50722190.0,3209483.0,6.33,,,,0.0
SRR8314703,59601042.0,2914021.0,4.89,107371.0,99.81985046503046,12766.0,11.89
SRR8314719,60194175.0,2647007.0,4.4,121462.0,99.79821635565236,11526.0,9.49
SRR8314268,57715291.0,2592026.0,4.49,,,,0.0
SRR8314491,59069535.0,3363836.0,5.69,196194.0,99.66785924419416,14969.0,7.63
SRR8314495,58713543.0,3396640.0,5.79,155819.0,99.73461148478128,14273.0,9.16
SRR8314604,62453760.0,2491176.0,3.99,,,,0.0
SRR8314748,55859344.0,2768553.0,4.96,92255.0,99.83484410414844,8745.0,9.48
SRR8314775,59672299.0,3460263.0,5.8,137843.0,99.76900001791451,13660.0,9.91
SRR8314357,60818597.0,3389011.0,5.57,177685.0,99.70784429637534,14694.0,8.27
SRR8314375,58538123.0,3815036.0,6.52,161663.0,99.72383296266607,15875.0,9.82
SRR8314742,59046657.0,2408977.0,4.08,,,,0.0
SRR8314769,58829413.0,3579296.0,6.08,180180.0,99.69372463396839,14810.0,8.22
SRR8314347,54931962.0,3070054.0,5.59,181045.0,99.67041956375051,13578.0,7.5
SRR8314606,62793683.0,1943148.0,3.09,147434.0,99.76520886663074,9126.0,6.19
SRR8314630,56491449.0,2255024.0,3.99,197524.0,99.65034708173268,11002.0,5.57
SRR8314723,57505466.0,2277993.0,3.96,121969.0,99.78790016239499,11147.0,9.14
SRR8314773,59416175.0,2215747.0,3.73,135140.0,99.77255351762378,10811.0,8.0
SRR8314225,61934815.0,2932840.0,4.74,60549.0,99.90223753796633,11595.0,19.15
SRR8314278,69240704.0,4143114.0,5.98,,,,0.0
SRR8314646,71526595.0,2832778.0,3.96,,,,0.0
SRR8314758,71990830.0,3179830.0,4.42,169782.0,99.76416163002982,10577.0,6.23
SRR8314274,71246084.0,3848618.0,5.4,272732.0,99.61719720623522,16391.0,6.01
SRR8314280,67737586.0,4418127.0,6.52,,,,0.0
SRR8314320,71907201.0,3615674.0,5.03,,,,0.0
SRR8314363,71768779.0,3620013.0,5.04,,,,0.0
SRR8314556,70909929.0,3582515.0,5.05,,,,0.0
SRR8314369,75998627.0,4167099.0,5.48,,,,0.0
SRR8314752,79507046.0,3114921.0,3.92,,,,0.0
SRR8314754,76906865.0,3355271.0,4.36,,,,0.0
Summary,56788350.35664336,2729511.027972028,4.777622377622378,120918.40186915887,99.77680216240532,10859.626168224298,10.226542056074766
